Pesticides,GROUP,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,
Acephate,i,14284,15971,15764,14510,17970,16580,
Alphamethrin,i,305,318,315,562,750,231,
Chlorpyriphos,i,6408,5164,6968,9541,9730,6870,
Cypermethrin,i,4946,8792,5684,9262,8590,8526,
DDT,i,3090,3616,3827,2787,3630,2090,
DDVP,i,3475,4640,4405,5515,6660,7219,
Deltamethrin,i,516,327,422,516,510,382,
Dicofol,i,45,83,46,74,110,90,
Dimethoate,i,1171,728,806,1363,1430,1437,
Endosulfan,i,11491,1352,,,,,
Ethion,i,1921,1332,936,1514,1600,1717,
Ethofumesate Technical,i,824,1136,1217,1014,620,502,
Fenvalerate,i,805,547,479,751,510,557,
Imidachloroprid,i,,,,943,560,200,
Lambdacyhalothrin,i,190,251,426,545,470,418,
Malathion,i,3049,2549,1708,2037,2240,2040,
Monocrotophos,i,9932,9588,8245,4268,6970,5484,
Pendimethalin,i,,,1034,1707,2260,2818,
Permethrin,i,,,,1390,1700,1301,
Phenthoate,i,588,591,962,1242,1400,1113,
Phorate,i,7667,7007,5749,6850,6620,5916,
Phosphamidon,i,285,58,15,45,130,128,
Profenofos Technical,i,4164,6125,4888,7180,7580,6853,
Quinalphos,i,1008,999,1346,1741,1880,839,
Temephos(ABATE),i,116,131,203,250,,79,
Thiamethoxam Technical,i,1492,1630,2802,3311,1660,1916,
Triazophos,i,1584,723,931,994,1000,1718,
Triclopyr acid,i,,,,200,190,300,
Captan & Captafol,f,721,924,560,1118,2380,2120,Captan & Captafol
Carbendazim,f,589,432,340,307,360,240,Carbendazim
Hexaconazole,f,355,389,363,576,590,622,Hexaconazole
Mancozeb,f,26047,43462,45295,57824,61400,66380,Mancozeb
Metconazole,f,359,500,625,702,610,389,Metconazole
Ziram,f,661,731,546,597,580,510,Ziram
"2,4-D",h,11517,12374,12951,17902,11620,18456,
Atrazine,h,248,661,652,1237,1200,1210,
Butachlor,h,292,199,183,39,,2,
Diuron,h,225,307,136,69,120,1260,
Gly-phosate,h,4860,5253,6120,8478,9690,6960,
Isoproturon,h,3684,2528,4052,2345,2430,1952,
Metribuzin,h,,,244,742,520,908,
Pretilachlor Technical,h,1179,1650,1928,2216,1880,1941,
Aluminium Phosphide,r,2824,3138,4161,4469,5050,5750,
Zinc phosphide,r,855,891,604,647,1290,1500,
