Name,Region,Date of Reporting ,Crop,Name of Pest/Disease,Severity of incidence,Source of Information,coordinates,s
,Kullu Himachal Pradesh  ,10-11-2014   ,Apple   ,    Aphid   ,  Low  ,Online report  ,"77.3845,31.9078",
,Raichur Karnataka   ,16-09-2013   ,Sunflower   ,    Leaf caterpillar    ,  Mild ,"Agri Dept, Karnataka  ","77.37,16.2",
Madira,Khammam Andhra Pradesh ,11-09-2013   ,Paddy   ,    Stem borer  ,  Mild ,"Agri Dept, AP  ","80.15,17.25",
,West Godavari Andhra Pradesh    ,25-09-2013   ,Sugarcane   ,    Rodent damage   ,  Low  ,Agri dept  ,"81.09,16.43",
,Tirupur Tamil Nadu  ,13-09-2013   ,Cotton   ,   Boll worm   ,  Mild ,TNAU report  ,"77.3398,11.1075",
,Bilaspur Chhattisgarh   ,21-10-2014   ,Brinjal    ," Shoot & Fruit Borer,Thrips, Jassids, yellow vein mosaic ",  Low to Moderate  ,Online report  ,"81.9559,22.3451",
,Madurai Tamil Nadu  ,13-09-2013   ,Papaya   ,   Mileay bug  ,  Mild ,TNAU report  ,"78.1194,9.9197",
Kadapa,Kadapa Andhra Pradesh  ,11-09-2013   ,Groundnut   ,    Leaf webber ,  Mild ,"Agri Dept, AP  ","78.92,14.47",
Pulivendula, Andhra Pradesh    ,11-09-2013   ,Groundnut   ,    Leaf webber ,  Mild ,"Agri Dept, AP  ","78.233,14.4167",
,Mangalore Karnataka ,16-09-2013   ,Paddy   ,"    Caterpillar, Blue beetle    ",  Mild ,"Agri Dept, Karnataka  ","74.88,12.87",
,Durg Chhattisgarh   ,21-10-2014   ,Okra   ," Fruit borer, jassids, Thrips, leaf minor    ",  Low  ,Online report  ,"81.3467,21.1894",
,Kadapa Andhra Pradesh   ,25-09-2013   ,Groundnut   ,    Leaf webber & spodoptera    ,  Low  ,Agri dept  ,"78.92,14.47",
,Sirsa Haryana   ,22-09-2013   ,Cotton   ,   Cotton leaf curl virus  ,  Moderate to High ,CICR rep dt  - -   ,"75,29.53",
,YSR Andhra Pradesh  ,25-09-2013   ,Groundnut   ,    Leaf webber & spodoptera    ,  Low  ,Agri dept  ,"80.0981,17.0477",
,Nizamabad Andhra Pradesh    ,25-09-2013   ,Soyabean   , Stem grildler spodoptera    ,  Low  ,Agri dept  ,"78.094,18.672",
,Adilabad Andhra Pradesh ,25-09-2013   ,Soyabean   , Stem grildler spodoptera    ,  Low  ,Agri dept  ,"78.53,19.66",
,Coimbatore Tamil Nadu   ,13-09-2013   ,Maize   ,    Downey Mildew   ,  Mild ,TNAU report  ,"76.9725,11.0183",
,Bongaigaon Assam    ,14-11-2014   ,Mustard   ,  leaf eating caterpillars    ,  Low  ,Online report  ,"90.6467,26.4906",
,Nizamabad Andhra Pradesh    ,18-11-2014   ,Beans   ,    leaf roller ,  Low  ,Online report  ,"78.1398,18.5238",
,Khammam Andhra Pradesh  ,20-11-2014   ,Groundnut   ,    wilt    ,  Low to Moderate  ,Online report  ,"80.681,17.5929",
,Nizamabad Andhra Pradesh    ,25-09-2013   ,Black Gram   ,   Spodoptera  & Aphids    ,  Low  ,Agri dept  ,"78.094,18.672",
,Nalgonda Andhra Pradesh ,01-11-2014   ,Paddy   ,    Brown Plant Hopper  ,  Moderate to High ,Online report  ,"79.2815,17.0619",
,Kodagu Karnataka    ,21-11-2014   ,COCOA   ,    Phytophthora pod rot    ,  Low to Moderate  ,Online report  ,"75.8002,12.3233",
,West Godavari Andhra Pradesh    ,21-11-2014   ,COCOA   ,    Blck Pod    ,  Low to Moderate  ,Online report  ,"81.3923,16.8868",
,Kanpur Uttar Pradesh    ,22-09-2013   ,Cotton   ,   Boll worm   ,  Moderate ,CICR rep dt,"80.33,26.46",
,Trivandrum Kerala   ,14-09-2013   ,Coconut   ,  Red palm weevil ,  Mild ,www.indiaenvironmentportal.org.in   ,"76.95,8.487",
,East Godavari Andhra Pradesh    ,25-09-2013   ,Sugarcane   ,    Rodent damage   ,  Low  ,Agri dept  ,"81.09,16.43",
,Hisar Haryana   ,22-09-2013   ,Cotton   ,   Cotton leaf curl virus  ,  Moderate to High ,CICR rep dt  - -   ,"75.7,29.15",
,Bellary Karnataka   ,22-09-2013   ,Cotton   ,   Aphids and Jassids  ,  Low  ,CICR rep dt,"76.9167,15.15",
,Khammam Andhra Pradesh  ,25-09-2013   ,Paddy   ,    Stem borer Hispa    ,  Low  ,Agri dept  ,"80.15,17.25",
,Adilabad Andhra Pradesh ,25-09-2013   ,Paddy   ,    Stem borer Hispa    ,  Low  ,Agri dept  ,"78.53,19.66",
,Nalgonda Andhra Pradesh ,25-09-2013   ,Paddy   ,    Stem borer Hispa    ,  Low  ,Agri dept  ,"79.27,17.05",
,Nizamabad Andhra Pradesh    ,25-09-2013   ,Paddy   ,    Stem borer Hispa    ,  Low  ,Agri dept  ,"78.094,18.672",
Sohna,Gurgaon Haryana    ,01-12-2013   ,Cauliflower   ,  Diamond Black Moth  ,  Low to Moderate  ,ppqs.gov.in  ,"77.0657,28.2468",
,Firozpur Punjab ,13-10-2013   ,Cotton   ,   White Fly & Mealy Bug   ,  Low  ,Jagran post  ,"74.3996,30.5652",
,Raichur Karnataka   ,22-09-2013   ,Cotton   ,   Aphids and Jassids  ,  Low  ,CICR rep dt,"77.37,16.2",
,Nizamabad Andhra Pradesh    ,25-09-2013   ,Maize   ,    Stem borer leaf blight  ,  Low  ,Agri dept  ,"78.094,18.672",
,Warangal Andhra Pradesh ,25-09-2013   ,Maize   ,    Stem borer leaf blight  ,  Low  ,Agri dept  ,"79.58,18",
,Khammam Andhra Pradesh  ,25-09-2013   ,Maize   ,    Stem borer leaf blight  ,  Low  ,Agri dept  ,"80.15,17.25",
,Ganganagar Rajasthan    ,14-09-2013   ,Cotton   ,   White fly   ,  Mild ,Newspaper report  (Tribune)  ,"73.88,29.92",
,Nizamabad Andhra Pradesh    ,11-09-2013   ,Maize   ,    Stem borer  ,  Mild ,"Agri Dept, AP  ","78.094,18.672",
Tanuku,West Godavari Andhra Pradesh   ,11-09-2013   ,Sugarcane   ,    Rodent  damage  ,  Mild ,"Agri Dept, AP  ","81.7,16.75",
,Chitradurga Karnataka   ,28-09-2013   ,Onion   ,    Thrips  ,   ,CRIDA ,"76.4,14.23",
,Hassan Karnataka    ,26-09-2013   ,Maize   ,    Stem borer  ,  Low  ,ICAR report  ,"76.1,13.06",
,Palakkad Kerala ,01-09-2013   ,Paddy   ,    Brown Plant Hopper  ,  Moderate ,ppqs.gov.in  ,"76.5544,10.7893",
,Palakkad Kerala ,01-09-2013   ,Paddy   ,    Bacterial leaf Blight   ,  Moderate ,ppqs.gov.in  ,"76.5544,10.7893",
,Bhiwani Haryana ,01-11-2013   ,Guar   , Bacterial leaf Spot ,  Moderate ,ppqs.gov.in  ,"75.9603,28.7234",
,Palakkad Kerala ,01-09-2013   ,Paddy   ,    Brown spot  ,  Low to Moderate  ,ppqs.gov.in  ,"76.5544,10.7893",
,Kozikhode Kerala    ,28-09-2013   ,Coconut   ,  Red palm weevil & stem bleeding     ,   ,CRIDA ,"75.77,11.25",
,Mallapuram Kerala   ,28-09-2013   ,Coconut   ,  Red palm weevil & stem bleeding     ,   ,CRIDA ,"76.083,11.041",
,Kannur Kerala   ,28-09-2013   ,Coconut   ,  Red palm weevil & stem bleeding     ,   ,CRIDA ,"74.9,12.87",
,Dharwad Karnataka   ,28-09-2013   ,Onion   ,    Thrips  ,   ,CRIDA ,"75.0061,15.4575",
,Gadag  Karnataka    ,28-09-2013   ,Onion   ,    Thrips  ,   ,CRIDA ,"75.6167,15.4167",
,Western districts Uttar Pradesh ,28-09-2013   ,Okra   , Fruit borer ,   ,CRIDA ,"80.91,26.85",
,Balasore Orissa ,28-09-2013   ,Jute   , Semi looper     ,   ,CRIDA ,"86.93,21.49",
Nagpur & Amravati, <brVidarbha Maharashtra   ,28-09-2013   ,Cotton   ,   Sap sucking pests   ,  High ,CRIDA ,"78.9053,19.8839",
,Udipi Karnataka ,08-09-2013   ,Arecanut   , Druit   ,  High ,Hindu businessline  ,"74.7451,13.3389",
,Shimoga Karnataka   ,08-09-2013   ,Arecanut   , Druit   ,  High ,Hindu businessline  ,"75.5667,13.9167",
,Solapur Maharashtra ,28-09-2013   ,Soyabean   , Spodoptera  ,  Mild ,CRIDA ,"75.92,17.68",
,Solapur Maharashtra ,28-09-2013   ,Sunflower   ,    Leaf eating caterpillar ,  Mild ,CRIDA ,"75.92,17.68",
,Palakkad Kerala ,28-09-2013   ,Paddy   ,"    blue beetle, blast, brown spot and rice bug ",  Mild ,CRIDA ,"76.65,10.77",
,Hisar Haryana   ,28-09-2013   ,Cotton   ,   Jassids & white fly ,  Mild ,CRIDA ,"75.7,29.15",
,Warangal Andhra Pradesh ,25-09-2013   ,Paddy   ,    Stem borer Hispa    ,  Low  ,Agri dept  ,"79.58,18",
,Kodagu Karnataka    ,26-09-2013   ,Maize   ,    Stem borer  ,  Low  ,ICAR report  ,"75.7397,12.4208",
,Bijapur Karnataka   ,26-09-2013   ,Sunflower   ,    Leaf caterpillars   ,  Low  ,ICAR report  ,"75.71,16.83",
,Bidar Karnataka ,26-09-2013   ,Sunflower   ,    Leaf caterpillars   ,  Low  ,ICAR report  ,"77.519,17.915",
, Karnataka  ,28-09-2013   ,Ragi   , Leaf blast  ,  Low  ,CRIDA ,"77.5603,12.9702",
,Khammam Andhra Pradesh  ,25-09-2013   ,Green gram   ,   Spodoptera aphids YMV   ,  Low  ,Agri dept  ,"80.15,17.25",
,Ranchi Jharkhand    ,11-09-2013   ,Paddy   ,"    Stem borer, Hispa   ",  Low  ,Krishi darshan News  ,"85.33,23.35",
,Allapuzha Kerala    ,14-09-2013   ,Paddy   ,    Leaf folder and rice bugs   ,  Mild ,www.indiaenvironmentportal.org.in   ,"76.33,9.49",
"Kuttanod, Chittur, Alathur, Kuzhalmannam, Kollengode, Nenmara",", Alathur, Kuzhalmannam, Kollengode, Nenmara <brAllapuzha Kerala   ",26-09-2013   ,Paddy   ,    Leaf folder stem caterpillar rice bug   ,  Moderate ,ICAR-advisory report  ,"76.33,9.49",
,Surat Gujarat   ,22-09-2013   ,Cotton   ,   Aphids and Jassids  ,  Moderate ,CICR rep dt,"72.83,21.17",
Dabwali,Sirsa Haryana  ,13-09-2013   ,Cotton   ,   Cotton leaf curl virus  ,  Moderate ,ipmweb.dacnet.nic.in  ,"75,29.53",
,Adilabad Andhra Pradesh ,11-09-2013   ,Cotton   ,   Spodoptera caterpillar  ,  Moderate ,"Agri Dept, AP  ","78.5333,19.6667",
"Kanatapara, Soro and Belpada", and Belpada <brBalangir Orissa    ,23-09-2013   ,Paddy   ,    Sucking pests   ,  Low  ,Indian express  ,"83.48,20.72",
,Pilibhit Uttar Pradesh  ,26-09-2013   ,Paddy   ,    BPH ,  Low to Moderate  ,ICAR report  ,"79.8724,28.6497",
,Bareilly Uttar Pradesh  ,26-09-2013   ,Paddy   ,    BPH ,  Low to Moderate  ,ICAR report  ,"79.415,28.364",
,Rampur Uttar Pradesh    ,26-09-2013   ,Paddy   ,    BPH ,  Low to Moderate  ,ICAR report  ,"79,28.8",
,Bahraich Uttar Pradesh  ,26-09-2013   ,Paddy   ,    BPH ,  Low to Moderate  ,ICAR report  ,"81.6,27.58",
,Bahraich Uttar Pradesh  ,26-09-2013   ,Maize   ,    Stem borer  ,  Low to Moderate  ,ICAR report  ,"81.6,27.58",
,Gonda Uttar Pradesh ,26-09-2013   ,Maize   ,    Stem borer  ,  Low to Moderate  ,ICAR report  ,"82,27.25",
,Bulandshaher Uttar Pradesh  ,26-09-2013   ,Maize   ,    Stem borer  ,  Low to Moderate  ,ICAR report  ,"77.85,28.4",
"Kuttanod, Chittur, Alathur, Kuzhalmannam, Kollengode, Nenmara",", Alathur, Kuzhalmannam, Kollengode, Nenmara <brPalakkad Kerala    ",26-09-2013   ,Paddy   ,    Leaf folder stem caterpillar rice bug   ,  Moderate ,ICAR-advisory report  ,"76.65,10.77",
,Kannur Kerala   ,26-09-2013   ,Coconut   ,  Red palm weevil ,  Moderate ,ICAR-advisory report  ,"74.9,12.87",
,Vidarbha Maharashtra    ,28-09-2013   ,Castor   ,   Semi-looper ,  Moderate ,CRIDA ,"78.9053,19.8839",
,Kozikhode Kerala    ,26-09-2013   ,Coconut   ,  Red palm weevil ,  Moderate ,ICAR-advisory report  ,"75.77,11.25",
"Agroha, Barwala", <brHisar Haryana  ,13-09-2013   ,Cotton   ,   Cotton leaf curl virus  ,  Moderate ,ipmweb.dacnet.nic.in  ,"75.63,29.33",
Dhangal,Fatehabad Haryana  ,13-09-2013   ,Cotton   ,   Cotton leaf curl virus  ,  Moderate ,ipmweb.dacnet.nic.in  ,"75.45,29.52",
"Julana, Jind", <brJind Haryana   ,13-09-2013   ,Cotton   ,   Cotton leaf curl virus  ,  Moderate ,ipmweb.dacnet.nic.in  ,"76.3167,29.316",
,Pilibhit Uttar Pradesh  ,28-09-2013   ,Paddy   ,    BPH & Green Hopper  ,  Low to Moderate  ,CRIDA ,"79.8724,28.6497",
,Cuttack Orissa  ,28-09-2013   ,Jute   , Semi looper     ,   ,CRIDA ,"85.52,20.27",
