cropname,croptype,market,arrivaldate,quantity,minprice,maxprice,modprice,year,date
Cotton,170-C2 (Ginned),Kadi,28-04-06,10,1225,1340,1320,2006,2006-04-28
Cotton,170-C2 (Ginned),Siddhpur,07-11-09,241,2925,3055,2990,2009,2009-11-07
Cotton,170-C2 (Ginned),Siddhpur,09-11-09,225.1,2840,3065,2950,2009,2009-11-09
Cotton,170-C2 (Ginned),Siddhpur,11-11-09,234.2,2985,3095,3040,2009,2009-11-11
Cotton,170-C2 (Ginned),Siddhpur,12-11-09,143.6,2900,3135,3020,2009,2009-11-12
Cotton,170-C2 (Ginned),Siddhpur,13-11-09,181.5,2930,3115,3025,2009,2009-11-13
Cotton,170-C2 (Ginned),Siddhpur,14-11-09,183.3,2900,3140,3020,2009,2009-11-14
Cotton,170-C2 (Ginned),Siddhpur,16-11-09,170.6,2950,3120,3035,2009,2009-11-16
Cotton,170-C2 (Ginned),Siddhpur,17-11-09,210.6,2800,3125,2965,2009,2009-11-17
Cotton,170-C2 (Ginned),Siddhpur,18-11-09,173.1,2900,3145,3025,2009,2009-11-18
Cotton,170-C2 (Ginned),Siddhpur,19-11-09,137.4,3005,3210,3110,2009,2009-11-19
Cotton,170-C2 (Ginned),Siddhpur,20-11-09,200.1,3050,3275,3160,2009,2009-11-20
Cotton,170-C2 (Ginned),Siddhpur,21-11-09,101,3000,3450,3225,2009,2009-11-21
Cotton,170-C2 (Ginned),Siddhpur,23-11-09,121.4,3100,3475,3290,2009,2009-11-23
Cotton,170-C2 (Ginned),Siddhpur,24-11-09,161.8,3110,3470,3290,2009,2009-11-24
Cotton,170-C2 (Ginned),Siddhpur,25-11-09,127.5,3000,3525,3265,2009,2009-11-25
Cotton,170-C2 (Ginned),Siddhpur,27-11-09,125.8,3000,3445,3220,2009,2009-11-27
Cotton,170-C2 (Ginned),Siddhpur,03-12-09,40.8,3250,3535,3395,2009,2009-12-03
Cotton,170-C2 (Ginned),Siddhpur,04-12-09,62.6,3305,3605,3455,2009,2009-12-04
Cotton,170-C2 (Ginned),Siddhpur,05-12-09,132.4,3370,3580,3475,2009,2009-12-05
Cotton,170-C2 (Ginned),Siddhpur,07-12-09,180,3265,3545,3405,2009,2009-12-07
Cotton,170-C2 (Ginned),Siddhpur,08-12-09,169.1,3255,3520,3390,2009,2009-12-08
